id,name,zone,total_lines
276,Wapping,2,1
277,Warren Street,1,2
278,Warwick Avenue,2,1
279,Waterloo,1,4
281,Wembley Central,4,1
282,Wembley Park,4,2
283,Westbourne Park,2,1
284,Westferry,2,1
285,Westminster,1,3
286,West Acton,3,1
287,West Brompton,2,1
288,West Finchley,4,1
289,West Ham,2.5,3
290,West Hampstead,2,1
291,West Harrow,5,1
292,West India Quay,2,1
293,West Kensington,2,1
294,West Ruislip,6,1
295,Whitechapel,2,3
296,White City,2,1
297,Willesden Green,2.5,1
298,Willesden Junction,2.5,1
299,Wimbledon,3,1
300,Wimbledon Park,3,1
301,Woodford,4,1
302,Woodside Park,4,1
303,Wood Green,3,1
35,Brixton,2,1
6,Amersham,9,1
23,Bermondsey,2,1
50,Chesham,9,1
46,Chalfont & Latimer,8,1
53,Chorleywood,7,1
214,Rickmansworth,7,1
62,Croxley,7,1
280,Watford,7,1
221,Ruislip Gardens,5,1
121,High Barnet,5,1
261,Totteridge & Whetstone,4,1
57,Cockfosters,5,1
187,Oakwood,5,1
232,Southgate,4,1
88,Epping,6,1
256,Theydon Bois,6,1
68,Debden,6,1
158,Loughton,6,1
37,Buckhurst Hill,5,1
204,Pudding Mill Lane,2.5,1
233,Southwark,1,1
41,Canada Water,2,2
43,Canning Town,2.5,2
183,North Greenwich,2.5,1
64,Cutty Sark,2.5,1
106,Greenwich,2.5,1
69,Deptford Bridge,2.5,1
86,Elverson Road,2.5,1
152,Lewisham,2.5,1
174,New Cross,2,1
175,New Cross Gate,2,1
304,West Silvertown,3,1
307,King George V,3,1
305,Pontoon Dock,3,1
306,London City Airport,3,1
308,Heathrow Terminal 5,6,1
309,Wood Lane,2,2
